,MSE,Mean,Max,Min
0,60.77987324951312,115.31834053214482,190.08046989284952,60.77987324951312
1,99.5331519163783,,,
2,89.5582074204057,,,
3,111.85959919376592,,,
4,91.43831844768398,,,
5,189.34266133900707,,,
6,125.63504953722186,,,
7,186.0822029631792,,,
8,83.84745082038268,,,
9,172.34468014021502,,,
10,132.8033010574931,,,
11,80.58427485981844,,,
12,187.95295640814695,,,
13,94.50151728757669,,,
14,120.52785531362514,,,
15,169.46997241812505,,,
16,91.66424574243642,,,
17,92.76408648149763,,,
18,111.500929750515,,,
19,90.55630706401847,,,
20,96.85320966246267,,,
21,89.37494769794144,,,
22,89.95095873028558,,,
23,96.29955269251563,,,
24,185.94970817027007,,,
25,119.08309078740196,,,
26,87.52049392081271,,,
27,182.18435876801675,,,
28,74.60557712414602,,,
29,166.29368192137994,,,
30,114.64589655370092,,,
31,150.63670358907993,,,
32,105.27330681348158,,,
33,84.01206025945451,,,
34,92.89846259358279,,,
35,87.9223432460681,,,
36,113.68642061126599,,,
37,121.11020825772759,,,
38,74.89502648982004,,,
39,92.16126739138545,,,
40,92.23774577410462,,,
41,190.08046989284952,,,
42,187.27300159261995,,,
43,180.67780059238046,,,
44,70.21289219167286,,,
45,67.90043000126725,,,
46,85.72757975160397,,,
47,75.06832282844576,,,
48,123.51306798182546,,,
49,113.96344348321185,,,
50,145.95299832295856,,,
51,85.66140977998614,,,
52,92.31775594842108,,,
53,92.50103727422,,,
54,108.49386904829173,,,
55,78.08159525223769,,,
56,68.67808721758087,,,
57,186.88148499289943,,,
58,99.88826081489019,,,
59,118.28810824521344,,,
60,125.21625172424586,,,
61,95.58863131986465,,,
62,120.53462361303255,,,
63,101.67389964045408,,,
64,99.68954581724424,,,
65,91.9653283441891,,,
66,96.14853773595723,,,
67,85.98595006281235,,,
68,87.06655133132205,,,
69,124.18580438729118,,,
70,75.28303215144645,,,
71,107.12992263301776,,,
72,186.75401873403996,,,
73,126.84241867681908,,,
74,94.65360837794903,,,
75,182.1260794805099,,,
76,96.75026525711706,,,
77,100.25079771774625,,,
78,151.89528901774847,,,
79,185.4454234102238,,,
80,113.48916005120299,,,
81,141.98693766523644,,,
82,114.98836111514439,,,
83,186.60465870432478,,,
84,101.79510214617146,,,
85,124.23122095514995,,,
86,94.54376187309708,,,
87,93.45342279293284,,,
88,115.19090698692666,,,
89,98.30098049069538,,,
90,96.53425584266913,,,
91,113.57115949988811,,,
92,94.068702315349,,,
93,111.33744321651994,,,
94,118.4039964996421,,,
95,92.13945829585529,,,
96,141.96202463253516,,,
97,122.35000538140982,,,
98,167.3911551764075,,,
99,82.80208246180577,,,
