,MSE,Mean,Max,Min
0,0.8700368541752974,0.8736898363105154,0.9558385212869756,-0.008743840402824832
1,0.9377828307926631,,,
2,0.9140762460193964,,,
3,0.9558385212869756,,,
4,0.9499133204185046,,,
5,0.9044869549951146,,,
6,0.9422888826767287,,,
7,0.9223417847387292,,,
8,-0.008743840402824832,,,
9,0.9355426582748766,,,
10,0.9278267638890694,,,
11,0.8680088532006235,,,
12,0.9186399050305748,,,
13,0.8914697781972288,,,
14,0.9365398106772738,,,
15,0.9317420218770083,,,
16,0.9233787742857513,,,
17,0.9090919482210218,,,
18,0.9422447523993579,,,
19,0.9344191642485503,,,
20,0.9070794756279785,,,
21,0.9116411132482165,,,
22,0.9129581230235315,,,
23,0.9397446071849663,,,
24,0.9277201896560013,,,
25,0.9099782302320212,,,
26,0.8686226042736931,,,
27,0.9288661912650593,,,
28,0.9301127992423643,,,
29,0.8776220307944295,,,
30,0.9367254170208049,,,
31,0.931491923525353,,,
32,0.9374736609020276,,,
33,0.932063349839781,,,
34,0.9278895490982318,,,
35,0.9274469169496294,,,
36,0.9115260340851357,,,
37,0.9504862712563642,,,
38,0.9247696865571985,,,
39,0.9439234081855662,,,
40,0.9510580831582487,,,
41,0.913646079056303,,,
42,0.9049732883887217,,,
43,0.9364452414398764,,,
44,0.8890118063288138,,,
45,0.9510199830933868,,,
46,0.8625858417515664,,,
47,-0.006942039358110996,,,
48,0.9175477089027821,,,
49,0.8763609486793249,,,
50,0.8951929214742633,,,
51,0.9346969506598899,,,
52,0.8713444648636464,,,
53,0.9215129319925603,,,
54,-0.0075551643611726504,,,
55,0.9436587391840535,,,
56,0.9322386498010815,,,
57,0.9392484377997752,,,
58,0.9246988544508044,,,
59,0.9397552582716824,,,
60,0.9348866688958317,,,
61,0.9462050868663487,,,
62,0.9532659866927018,,,
63,0.927317975249881,,,
64,0.8921058158674956,,,
65,0.9123623133821445,,,
66,0.8692696122315151,,,
67,0.9014609117026414,,,
68,0.9395639406037215,,,
69,0.8727085677369396,,,
70,0.8974633304524662,,,
71,0.8829280856995658,,,
72,0.9303678870804744,,,
73,0.9335007199731569,,,
74,0.8970550033830815,,,
75,0.8911848688112876,,,
76,0.9337756274686662,,,
77,0.9171420508814279,,,
78,-0.004600653141586308,,,
79,0.8987571900269301,,,
80,0.9390277117135093,,,
81,0.9218103655332931,,,
82,0.8998485046169967,,,
83,0.9321388790026184,,,
84,0.930326603552528,,,
85,-0.003180774992948887,,,
86,0.9536789440289699,,,
87,0.9546462393200567,,,
88,0.9203466684095682,,,
89,0.9286356933003886,,,
90,0.9518006337460483,,,
91,0.9409544203140708,,,
92,0.8665298351537548,,,
93,0.9348822180930407,,,
94,0.9321997166089336,,,
95,0.9218361974781326,,,
96,0.9492595977089825,,,
97,0.9239761044022737,,,
98,0.9253232205757194,,,
99,0.882655310073138,,,
