Date,Close/Last,Volume,Open,High,Low,InflationRate
2017-04-17,52.89,10467010,52.99,53.13,52.75,1.7933333333333332
2017-04-18,52.67,11260040,52.6,52.98,52.39,1.7866666666666666
2017-04-19,52.61,15330730,53.0,53.1,52.3,1.78
2017-04-20,52.66,24654290,53.22,53.4,51.4,1.7733333333333332
2017-04-21,52.5,10949060,52.77,52.8,52.21,1.7666666666666666
2017-04-24,52.81,10704410,53.01,53.25,52.75,1.7466666666666666
2017-04-25,53.0,11405940,53.17,53.49,52.96,1.74
2017-04-26,53.04,7364855,53.2,53.3,52.91,1.7333333333333334
2017-04-27,53.21,6953922,53.24,53.34,52.91,1.7266666666666666
2017-04-28,53.74,34366230,51.8,53.95,51.05,1.72
2017-05-01,53.6,12957180,53.65,53.7,53.095,1.7
2017-05-02,53.29,10270480,53.65,53.725,52.9,1.7
2017-05-03,54.49,18350090,53.41,54.77,53.25,1.7
2017-05-04,54.91,11993090,54.73,55.0,54.5,1.7
2017-05-05,54.93,9073450,54.93,55.0,54.695,1.7
2017-05-08,54.62,7025309,54.99,55.0,54.56,1.7
2017-05-09,55.15,8313475,54.69,55.19,54.63,1.7
2017-05-10,55.33,8496878,55.22,55.4273,54.8627,1.7
2017-05-11,54.68,13514130,55.25,55.3,54.41,1.7
2017-05-12,55.32,9100734,54.5,55.35,54.4,1.7
2017-05-15,55.4,10657680,55.08,55.49,55.075,1.7
2017-05-16,55.95,9491650,55.39,55.98,55.1,1.7
2017-05-17,55.36,14809650,55.64,56.075,55.3,1.7
2017-05-18,56.12,13125030,55.58,56.31,55.02,1.7
2017-05-19,57.67,16541850,56.49,57.79,56.2,1.7
2017-05-22,59.28,20767670,58.39,59.54,58.38,1.7
2017-05-23,59.22,14210560,59.38,59.89,59.13,1.7
2017-05-24,58.64,8624834,59.28,59.62,58.57,1.7
2017-05-25,58.45,9549459,58.65,58.95,58.261,1.7
2017-05-26,57.52,8223461,57.66,57.978,57.37,1.7
2017-05-30,57.34,11545990,57.28,57.74,57.17,1.7
2017-05-31,57.27,14009010,57.26,57.73,57.0,1.7
2017-06-01,58.62,11526420,57.45,58.65,57.35,1.7
2017-06-02,58.58,9525357,58.89,58.96,58.35,1.7
2017-06-05,58.86,7960848,58.5,59.05,58.48,1.7
2017-06-06,58.2,7870567,58.6,58.91,58.18,1.7
2017-06-07,57.53,10104420,58.3,58.49,57.13,1.7
2017-06-08,58.12,10299310,57.77,58.15,57.61,1.7
2017-06-09,57.05,13622010,58.37,58.49,56.74,1.7
2017-06-12,57.49,9984865,56.52,57.675,56.48,1.7
2017-06-13,57.54,7105149,57.95,58.065,57.5,1.7
2017-06-14,57.01,6725290,57.7,57.97,56.67,1.7
2017-06-15,56.93,5409133,56.42,57.17,56.4,1.7
2017-06-16,56.82,14520010,56.98,57.01,56.35,1.7
2017-06-19,57.61,7095308,56.96,57.66,56.91,1.7
2017-06-20,56.79,8166550,57.46,57.61,56.51,1.7
2017-06-21,56.33,8317061,56.79,56.84,56.12,1.7
2017-06-22,56.47,5540624,56.24,56.745,56.06,1.7
2017-06-23,56.91,11847780,56.64,57.4365,56.57,1.7
2017-06-26,56.56,7338463,57.09,57.6892,56.21,1.7
2017-06-27,55.43,6813046,56.29,56.33,55.41,1.7
2017-06-28,56.16,7534000,55.4,56.32,55.18,1.7
2017-06-29,55.08,8455545,55.93,55.93,54.55,1.7
2017-06-30,55.22,8754158,55.6,55.63,55.03,1.7
2017-07-03,54.95,4379566,55.53,56.02,54.92,1.7
2017-07-05,55.45,6817608,55.01,55.56,54.78,1.7
2017-07-06,54.79,5660766,55.02,55.23,54.735,1.7
