Date,Close/Last,Volume,Open,High,Low
04/29/2022,$139.69,13693080,$145.81,$147.5,$139.52
04/28/2022,$148.19,31111070,$142.87,$151.2,$139.13
04/27/2022,$135.1,13855920,$130.815,$138.11,$130.66
04/26/2022,$133.5,9262820,$135.02,$136.35,$132.63
04/25/2022,$136.56,9673241,$131.32,$136.81,$130.91
04/22/2022,$132.81,8315141,$136.13,$137.3319,$132.65
04/21/2022,$136.11,8576484,$142.34,$143.6426,$135.26
04/20/2022,$140.34,7731575,$143.21,$144.81,$140.06
04/19/2022,$141.05,7213805,$138.83,$141.4,$137.54
04/18/2022,$139.32,8785714,$135.62,$140.35,$135.56
04/14/2022,$136.91,8002591,$141.05,$141.56,$136.68
04/13/2022,$140.5,10440840,$137.54,$142.59,$136.48
04/12/2022,$136.09,10591330,$137.92,$140.16,$135.5
04/11/2022,$135.36,11210360,$134.292,$137.61,$133.69
04/08/2022,$136.69,12992460,$138.54,$139.96,$136.36
04/07/2022,$139.22,10201210,$139.79,$141.49,$136.92
04/06/2022,$139.28,21054220,$142.9,$143,$137.46
04/05/2022,$145.46,15946150,$151.81,$152.01,$145.27
04/04/2022,$153.81,12143570,$147.74,$154.13,$146.66
04/01/2022,$146.99,19762140,$151.94,$152.87,$142.5648
03/31/2022,$152.82,13364240,$152.885,$155.14,$151.03
03/30/2022,$152.73,14777760,$159.39,$160.27,$151.79
03/29/2022,$161.07,10212360,$161.21,$161.3,$156.65
03/28/2022,$158.45,9470796,$156.5,$158.5,$154.05
03/25/2022,$157.97,7203782,$157.97,$158.46,$155.18
03/24/2022,$158.46,9261010,$154.3,$158.56,$153.59
03/23/2022,$152.87,7245568,$156.11,$157.21,$152.58
03/22/2022,$157.61,7220508,$155.45,$159.94,$154.77
03/21/2022,$155.59,8986357,$153.99,$157.71,$152.81
03/18/2022,$153.99,18454200,$152.52,$156.03,$149.01
03/17/2022,$152.83,8602938,$149.19,$152.94,$146.58
03/16/2022,$150.45,11727730,$146.965,$151.56,$143.57
03/15/2022,$144.21,13892970,$142.5,$144.43,$139.05
03/14/2022,$141.29,16154170,$150.8,$151.29,$140.465
03/11/2022,$152.34,7394419,$157.95,$158.32,$152.02
