Date,Close/Last,Volume,Open,High,Low,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash From Acquisitions & Divestitures,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash From (Repayment of) Debt,Cash From (Repurchase of) Equity,Other Financing Activities,Cash from Financing Activities,Net Cash Before Disc. Operations and FX,Change in Cash from Disc. Operations and Other,Net Cash Before FX,Effect of Foreign Exchange Rates,Net Changes in Cash
2017-06-12,57.49,9984865,56.52,57.675,56.48,735.5934065934066,339.2857142857143,148.41758241758242,-243.36263736263743,979.9340659340659,-123.46153846153847,1821.3846153846155,,-1493.2307692307693,204.69230769230774,-783.2087912087912,197.01098901098902,-163.46153846153845,-54.967032967032964,-804.6263736263736,380.0,,380.0,5.153846153846153,385.1538461538462
2017-06-13,57.54,7105149,57.95,58.065,57.5,736.3516483516484,339.42857142857144,148.3956043956044,-252.65934065934073,971.5164835164835,-123.38461538461539,1808.1538461538462,,-1486.6923076923076,198.0769230769231,-783.1978021978022,199.74725274725276,-161.38461538461536,-52.75824175824175,-797.5934065934066,372.0,,372.0,5.4615384615384635,377.46153846153845
2017-06-14,57.01,6725290,57.7,57.97,56.67,737.1098901098901,339.57142857142856,148.37362637362637,-261.956043956044,963.098901098901,-123.3076923076923,1794.9230769230771,,-1480.1538461538462,191.4615384615385,-783.1868131868132,202.4835164835165,-159.3076923076923,-50.54945054945054,-790.5604395604396,364.0,,364.0,5.76923076923077,369.7692307692307
2017-06-15,56.93,5409133,56.42,57.17,56.4,737.8681318681319,339.7142857142857,148.35164835164835,-271.2527472527473,954.6813186813187,-123.23076923076923,1781.6923076923076,,-1473.6153846153848,184.84615384615387,-783.1758241758242,205.21978021978023,-157.23076923076923,-48.34065934065933,-783.5274725274726,356.0,,356.0,6.076923076923077,362.0769230769231
2017-06-16,56.82,14520010,56.98,57.01,56.35,738.6263736263736,339.85714285714283,148.32967032967034,-280.5494505494506,946.2637362637363,-123.15384615384616,1768.4615384615386,,-1467.076923076923,178.23076923076928,-783.1648351648352,207.95604395604397,-155.15384615384613,-46.13186813186812,-776.4945054945055,348.0,,348.0,6.384615384615387,354.38461538461536
2017-06-19,57.61,7095308,56.96,57.66,56.91,740.9010989010989,340.2857142857143,148.26373626373626,-308.4395604395605,921.010989010989,-122.92307692307692,1728.769230769231,,-1447.4615384615386,158.38461538461547,-783.1318681318681,216.16483516483518,-148.9230769230769,-39.50549450549448,-755.3956043956044,324.0,,324.0,7.30769230769231,331.30769230769226
2017-06-20,56.79,8166550,57.46,57.61,56.51,741.6593406593406,340.42857142857144,148.24175824175825,-317.7362637362638,912.5934065934066,-122.84615384615384,1715.5384615384617,,-1440.923076923077,151.76923076923083,-783.1208791208791,218.90109890109892,-146.84615384615384,-37.2967032967033,-748.3626373626373,316.0,,316.0,7.615384615384617,323.61538461538464
2017-06-21,56.33,8317061,56.79,56.84,56.12,742.4175824175824,340.57142857142856,148.21978021978023,-327.0329670329671,904.1758241758241,-122.76923076923077,1702.3076923076924,,-1434.3846153846152,145.1538461538462,-783.1098901098901,221.63736263736263,-144.76923076923075,-35.08791208791209,-741.3296703296703,308.0,,308.0,7.923076923076923,315.9230769230769
2017-06-22,56.47,5540624,56.24,56.745,56.06,743.1758241758241,340.7142857142857,148.1978021978022,-336.3296703296704,895.7582417582418,-122.6923076923077,1689.076923076923,,-1427.8461538461538,138.53846153846155,-783.0989010989011,224.37362637362637,-142.69230769230768,-32.879120879120876,-734.2967032967033,300.0,,300.0,8.230769230769234,308.23076923076917
2017-06-23,56.91,11847780,56.64,57.4365,56.57,743.934065934066,340.85714285714283,148.17582417582418,-345.6263736263737,887.3406593406593,-122.61538461538461,1675.8461538461538,,-1421.3076923076924,131.9230769230769,-783.0879120879121,227.1098901098901,-140.6153846153846,-30.670329670329664,-727.2637362637363,292.0,,292.0,8.53846153846154,300.53846153846155
2017-06-26,56.56,7338463,57.09,57.6892,56.21,746.2087912087912,341.2857142857143,148.1098901098901,-373.5164835164836,862.0879120879121,-122.38461538461539,1636.1538461538462,,-1401.6923076923076,112.0769230769231,-783.054945054945,235.3186813186813,-134.38461538461536,-24.04395604395603,-706.1648351648352,268.0,,268.0,9.461538461538463,277.46153846153845
2017-06-27,55.43,6813046,56.29,56.33,55.41,746.967032967033,341.42857142857144,148.0879120879121,-382.8131868131869,853.6703296703297,-122.3076923076923,1622.923076923077,,-1395.1538461538462,105.46153846153845,-783.0439560439561,238.05494505494505,-132.3076923076923,-21.835164835164818,-699.1318681318681,260.0,,260.0,9.76923076923077,269.7692307692307
2017-06-28,56.16,7534000,55.4,56.32,55.18,747.7252747252747,341.57142857142856,148.06593406593407,-392.1098901098902,845.2527472527472,-122.23076923076923,1609.6923076923078,,-1388.6153846153848,98.84615384615392,-783.032967032967,240.7912087912088,-130.23076923076923,-19.626373626373606,-692.0989010989011,252.0,,252.0,10.07692307692308,262.0769230769231
