Date,Close/Last,Volume,Open,High,Low,Gross Profit,Net Income Available to Common Shareholders,InflationRate,Total Assets,Total Liabilities,Net Income/Starting Line,Dividends Paid,Net Changes in Cash,BrentCrudeOil
2017-05-16,55.95,9491650,55.39,55.98,55.1,3186.1098901098903,715.1318681318681,1.7,54202.0989010989,22932.802197802197,715.1208791208791,-783.5054945054945,592.8461538461538,48.946841769730995
2017-05-17,55.36,14809650,55.64,56.075,55.3,3177.8901098901097,715.8681318681319,1.7,54242.9010989011,22972.197802197803,715.8791208791208,-783.4945054945055,585.1538461538462,48.8185732500319
2017-05-18,56.12,13125030,55.58,56.31,55.02,3169.67032967033,716.6043956043956,1.7,54283.703296703294,23011.593406593405,716.6373626373627,-783.4835164835165,577.4615384615385,48.69030473033281
2017-05-19,57.67,16541850,56.49,57.79,56.2,3161.4505494505493,717.3406593406594,1.7,54324.505494505494,23050.98901098901,717.3956043956044,-783.4725274725274,569.7692307692307,48.562036210633714
2017-05-22,59.28,20767670,58.39,59.54,58.38,3136.7912087912086,719.5494505494505,1.7,54446.91208791209,23169.175824175825,719.6703296703297,-783.4395604395604,546.6923076923076,48.17723065153643
2017-05-23,59.22,14210560,59.38,59.89,59.13,3128.5714285714284,720.2857142857143,1.7,54487.71428571428,23208.571428571428,720.4285714285714,-783.4285714285714,539.0,48.04896213183734
2017-05-24,58.64,8624834,59.28,59.62,58.57,3120.3516483516482,721.021978021978,1.7,54528.51648351648,23247.967032967033,721.1868131868132,-783.4175824175824,531.3076923076924,47.92069361213825
2017-05-25,58.45,9549459,58.65,58.95,58.261,3112.131868131868,721.7582417582418,1.7,54569.318681318684,23287.362637362636,721.945054945055,-783.4065934065934,523.6153846153845,47.79242509243915
2017-05-26,57.52,8223461,57.66,57.978,57.37,3103.912087912088,722.4945054945055,1.7,54610.12087912088,23326.75824175824,722.7032967032967,-783.3956043956044,515.9230769230769,47.66415657274006
2017-05-30,57.34,11545990,57.28,57.74,57.17,3071.032967032967,725.4395604395604,1.7,54773.32967032967,23484.340659340658,725.7362637362637,-783.3516483516484,485.15384615384613,47.15108249394369
2017-05-31,57.27,14009010,57.26,57.73,57.0,3062.813186813187,726.1758241758241,1.7,54814.131868131866,23523.736263736264,726.4945054945055,-783.3406593406594,477.46153846153845,47.02281397424459
2017-06-01,58.62,11526420,57.45,58.65,57.35,3054.5934065934066,726.9120879120879,1.7,54854.93406593407,23563.131868131866,727.2527472527472,-783.3296703296703,469.7692307692308,46.8945454545455
2017-06-02,58.58,9525357,58.89,58.96,58.35,3046.3736263736264,727.6483516483516,1.7,54895.73626373627,23602.527472527472,728.010989010989,-783.3186813186813,462.07692307692304,46.95439393939398
2017-06-05,58.86,7960848,58.5,59.05,58.48,3021.714285714286,729.8571428571429,1.7,55018.142857142855,23720.714285714286,730.2857142857143,-783.2857142857143,439.0,47.133939393939436
2017-06-06,58.2,7870567,58.6,58.91,58.18,3013.4945054945056,730.5934065934066,1.7,55058.945054945056,23760.10989010989,731.0439560439561,-783.2747252747253,431.3076923076923,47.193787878787916
2017-06-07,57.53,10104420,58.3,58.49,57.13,3005.2747252747254,731.3296703296703,1.7,55099.74725274726,23799.505494505494,731.8021978021978,-783.2637362637363,423.61538461538464,47.2536363636364
2017-06-08,58.12,10299310,57.77,58.15,57.61,2997.054945054945,732.065934065934,1.7,55140.54945054945,23838.9010989011,732.5604395604396,-783.2527472527472,415.9230769230769,47.31348484848488
2017-06-09,57.05,13622010,58.37,58.49,56.74,2988.835164835165,732.8021978021978,1.7,55181.35164835165,23878.296703296703,733.3186813186813,-783.2417582417582,408.23076923076917,47.37333333333336
2017-06-12,57.49,9984865,56.52,57.675,56.48,2964.1758241758243,735.010989010989,1.7,55303.758241758245,23996.483516483517,735.5934065934066,-783.2087912087912,385.1538461538462,47.55287878787882
2017-06-13,57.54,7105149,57.95,58.065,57.5,2955.956043956044,735.7472527472528,1.7,55344.56043956044,24035.879120879123,736.3516483516484,-783.1978021978022,377.46153846153845,47.6127272727273
2017-06-14,57.01,6725290,57.7,57.97,56.67,2947.736263736264,736.4835164835165,1.7,55385.36263736264,24075.274725274725,737.1098901098901,-783.1868131868132,369.7692307692307,47.672575757575785
2017-06-15,56.93,5409133,56.42,57.17,56.4,2939.5164835164837,737.2197802197802,1.7,55426.16483516483,24114.67032967033,737.8681318681319,-783.1758241758242,362.0769230769231,47.732424242424266
2017-06-16,56.82,14520010,56.98,57.01,56.35,2931.2967032967035,737.9560439560439,1.7,55466.96703296703,24154.065934065933,738.6263736263736,-783.1648351648352,354.38461538461536,47.792272727272746
2017-06-19,57.61,7095308,56.96,57.66,56.91,2906.6373626373625,740.1648351648352,1.7,55589.37362637363,24272.252747252747,740.9010989010989,-783.1318681318681,331.30769230769226,47.9718181818182
2017-06-20,56.79,8166550,57.46,57.61,56.51,2898.4175824175827,740.9010989010989,1.7,55630.17582417582,24311.64835164835,741.6593406593406,-783.1208791208791,323.61538461538464,48.03166666666668
2017-06-21,56.33,8317061,56.79,56.84,56.12,2890.197802197802,741.6373626373627,1.7,55670.97802197802,24351.043956043955,742.4175824175824,-783.1098901098901,315.9230769230769,48.09151515151517
2017-06-22,56.47,5540624,56.24,56.745,56.06,2881.9780219780223,742.3736263736264,1.7,55711.78021978022,24390.43956043956,743.1758241758241,-783.0989010989011,308.23076923076917,48.15136363636365
2017-06-23,56.91,11847780,56.64,57.4365,56.57,2873.7582417582416,743.1098901098901,1.7,55752.58241758242,24429.835164835164,743.934065934066,-783.0879120879121,300.53846153846155,48.211212121212135
2017-06-26,56.56,7338463,57.09,57.6892,56.21,2849.098901098901,745.3186813186813,1.7,55874.98901098901,24548.021978021978,746.2087912087912,-783.054945054945,277.46153846153845,48.39075757575758
2017-06-27,55.43,6813046,56.29,56.33,55.41,2840.879120879121,746.054945054945,1.7,55915.79120879121,24587.417582417584,746.967032967033,-783.0439560439561,269.7692307692307,48.45060606060606
2017-06-28,56.16,7534000,55.4,56.32,55.18,2832.6593406593406,746.7912087912088,1.7,55956.593406593405,24626.813186813186,747.7252747252747,-783.032967032967,262.0769230769231,48.51045454545455
2017-06-29,55.08,8455545,55.93,55.93,54.55,2824.4395604395604,747.5274725274726,1.7,55997.395604395606,24666.20879120879,748.4835164835165,-783.021978021978,254.38461538461536,48.57030303030303
2017-06-30,55.22,8754158,55.6,55.63,55.03,2816.21978021978,748.2637362637363,1.7,56038.1978021978,24705.604395604394,749.2417582417582,-783.010989010989,246.69230769230762,48.63015151515152
2017-07-03,54.95,4379566,55.53,56.02,54.92,2809.6304347826085,751.5434782608696,1.7,56259.434782608696,24926.543478260868,752.5,-784.3260869565217,403.04347826086956,48.862875175315565
2017-07-05,55.45,6817608,55.01,55.56,54.78,2811.2608695652175,754.0869565217391,1.7,56439.86956521739,25108.08695652174,755.0,-785.6521739130435,567.0869565217391,49.03575035063113
2017-07-06,54.79,5660766,55.02,55.23,54.735,2812.0760869565215,755.3586956521739,1.7,56530.086956521736,25198.858695652172,756.25,-786.3152173913044,649.1086956521739,49.12218793828892
2017-07-07,55.35,5170545,55.04,55.73,54.87,2812.891304347826,756.6304347826087,1.7,56620.30434782609,25289.630434782608,757.5,-786.9782608695652,731.1304347826087,49.2086255259467
2017-07-10,55.64,5085958,55.37,55.885,55.19,2815.336956521739,760.445652173913,1.7,56890.95652173913,25561.945652173912,761.25,-788.9673913043479,977.195652173913,49.46793828892005
2017-07-11,55.33,6114802,55.63,55.63,55.02,2816.1521739130435,761.7173913043479,1.7,56981.17391304348,25652.717391304348,762.5,-789.6304347826087,1059.2173913043478,49.554375876577836
2017-07-12,56.2,6121077,55.79,56.31,55.72,2816.967391304348,762.9891304347826,1.7,57071.391304347824,25743.489130434784,763.75,-790.2934782608696,1141.2391304347825,49.64081346423562
2017-07-13,56.23,6219216,56.38,56.52,56.17,2817.782608695652,764.2608695652174,1.7,57161.608695652176,25834.260869565216,765.0,-790.9565217391304,1223.2608695652175,49.727251051893404
2017-07-14,56.81,4439390,56.5,56.93,56.15,2818.5978260869565,765.5326086956521,1.7,57251.82608695652,25925.032608695652,766.25,-791.6195652173913,1305.2826086956522,49.81368863955119
2017-07-17,56.46,5097760,56.73,56.92,56.39,2821.0434782608695,769.3478260869565,1.7,57522.47826086957,26197.347826086956,770.0,-793.6086956521739,1551.3478260869565,50.07300140252454
2017-07-18,56.29,7419206,56.34,56.38,56.0,2821.858695652174,770.6195652173913,1.7,57612.69565217391,26288.119565217392,771.25,-794.2717391304348,1633.3695652173913,50.15943899018232
2017-07-19,56.78,8597707,56.46,56.9399,56.01,2822.6739130434785,771.8913043478261,1.7,57702.913043478264,26378.891304347824,772.5,-794.9347826086956,1715.391304347826,50.24587657784011
2017-07-20,53.97,35707180,55.11,55.43,53.46,2823.4891304347825,773.1630434782609,1.7,57793.13043478261,26469.66304347826,773.75,-795.5978260869565,1797.4130434782608,50.33231416549789
2017-07-21,53.84,12078680,53.66,54.0,53.37,2824.304347826087,774.4347826086956,1.7,57883.34782608696,26560.434782608696,775.0,-796.2608695652174,1879.4347826086955,50.418751753155675
2017-07-24,53.22,8813216,53.75,53.88,53.09,2826.75,778.25,1.7,58154.0,26832.75,778.75,-798.25,2125.5,50.67806451612903
2017-07-25,53.27,7110013,53.2,53.65,53.07,2827.5652173913045,779.5217391304348,1.7,58244.21739130435,26923.521739130436,780.0,-798.9130434782609,2207.521739130435,50.76450210378681
2017-07-26,53.14,7566436,53.29,53.35,52.74,2828.3804347826085,780.7934782608696,1.7,58334.434782608696,27014.293478260868,781.25,-799.5760869565217,2289.5434782608695,50.850939691444594
2017-07-27,52.49,14058050,53.08,53.37,52.23,2829.195652173913,782.0652173913044,1.7,58424.65217391304,27105.065217391304,782.5,-800.2391304347826,2371.5652173913045,50.93737727910238
2017-07-28,52.88,6643607,52.27,52.9865,52.27,2830.0108695652175,783.3369565217391,1.7,58514.86956521739,27195.83695652174,783.75,-800.9021739130435,2453.586956521739,51.02381486676016
2017-07-31,53.19,11301880,53.1,53.295,52.75,2832.4565217391305,787.1521739130435,1.7,58785.52173913043,27468.152173913044,787.5,-802.8913043478261,2699.6521739130435,51.283127629733514
2017-08-01,53.41,8207783,53.3,53.43,52.91,2833.271739130435,788.4239130434783,1.7,58875.739130434784,27558.92391304348,788.75,-803.554347826087,2781.673913043478,51.3695652173913
2017-08-02,53.17,23073980,53.295,53.3885,52.78,2834.086956521739,789.695652173913,1.7,58965.95652173913,27649.695652173912,790.0,-804.2173913043479,2863.695652173913,51.491929473051485
2017-08-03,52.95,8643428,53.16,53.3399,52.75,2834.9021739130435,790.9673913043479,1.7,59056.17391304348,27740.467391304348,791.25,-804.8804347826087,2945.717391304348,51.61429372871167
2017-08-04,52.62,8676309,53.0,53.0,52.51,2835.717391304348,792.2391304347826,1.7,59146.391304347824,27831.239130434784,792.5,-805.5434782608695,3027.7391304347825,51.73665798437186
2017-08-07,52.7,6512811,52.5,52.845,52.49,2838.163043478261,796.054347826087,1.7,59417.04347826087,28103.554347826088,796.25,-807.5326086956521,3273.804347826087,52.10375075135242
2017-08-08,52.29,10456790,52.55,53.33,52.21,2838.978260869565,797.3260869565217,1.7,59507.260869565216,28194.32608695652,797.5,-808.195652173913,3355.8260869565215,52.22611500701261
2017-08-09,52.77,8084091,52.05,52.8,52.0,2839.7934782608695,798.5978260869565,1.7,59597.47826086957,28285.097826086956,798.75,-808.8586956521739,3437.8478260869565,52.3484792626728
2017-08-10,52.34,10678100,52.54,52.75,52.11,2840.608695652174,799.8695652173913,1.7,59687.69565217391,28375.869565217392,800.0,-809.5217391304348,3519.869565217391,52.470843518332984
2017-08-11,52.72,5894003,52.39,53.13,52.29,2841.4239130434785,801.1413043478261,1.7,59777.913043478264,28466.641304347824,801.25,-810.1847826086956,3601.891304347826,52.59320777399317
2017-08-14,53.55,8117050,53.04,53.64,52.91,2843.8695652173915,804.9565217391305,1.7,60048.565217391304,28738.956521739132,805.0,-812.1739130434783,3847.9565217391305,52.96030054097373
2017-08-15,53.87,7873900,53.66,54.08,53.35,2844.6847826086955,806.2282608695652,1.7,60138.782608695656,28829.728260869564,806.25,-812.8369565217391,3929.978260869565,53.08266479663392
2017-08-16,53.31,7414452,54.06,54.1,53.255,2845.5,807.5,1.7,60229.0,28920.5,807.5,-813.5,4012.0,53.20502905229411
2017-08-17,52.27,6209295,53.19,53.41,52.27,2846.3152173913045,808.7717391304348,1.7,60319.21739130435,29011.271739130436,808.75,-814.1630434782609,4094.0217391304345,53.32739330795429
2017-08-18,51.92,6692408,52.26,52.415,51.9,2847.1304347826085,810.0434782608696,1.7,60409.434782608696,29102.04347826087,810.0,-814.8260869565217,4176.04347826087,53.449757563614476
2017-08-21,51.98,5190770,52.0,52.08,51.5,2849.5760869565215,813.8586956521739,1.7,60680.086956521736,29374.358695652176,813.75,-816.8152173913044,4422.108695652174,53.81685033059504
2017-08-22,52.35,4436862,52.21,52.62,52.21,2850.391304347826,815.1304347826087,1.7,60770.30434782609,29465.130434782608,815.0,-817.4782608695652,4504.130434782609,53.939214586255225
2017-08-23,52.23,5258709,52.3,52.405,51.78,2851.2065217391305,816.4021739130435,1.7,60860.52173913043,29555.902173913044,816.25,-818.1413043478261,4586.152173913043,54.06157884191541
2017-08-24,52.49,6197220,52.37,52.71,52.26,2852.021739130435,817.6739130434783,1.7,60950.739130434784,29646.67391304348,817.5,-818.804347826087,4668.173913043478,54.1839430975756
2017-08-25,52.03,8680526,52.78,52.8545,52.02,2852.836956521739,818.945652173913,1.7,61040.95652173913,29737.445652173912,818.75,-819.4673913043479,4750.195652173913,54.30630735323579
2017-08-28,51.81,4510636,51.77,51.81,51.46,2855.282608695652,822.7608695652174,1.7,61311.608695652176,30009.760869565216,822.5,-821.4565217391304,4996.260869565217,54.67340012021635
2017-08-29,51.81,4972386,51.31,51.86,51.28,2856.0978260869565,824.0326086956522,1.7,61401.82608695652,30100.532608695652,823.75,-822.1195652173913,5078.282608695652,54.79576437587654
2017-08-30,52.12,4869276,51.75,52.286,51.56,2856.913043478261,825.304347826087,1.7,61492.04347826087,30191.304347826088,825.0,-822.7826086956521,5160.304347826087,54.918128631536725
2017-08-31,52.27,8215456,52.26,52.59,52.12,2857.728260869565,826.5760869565217,1.7,61582.260869565216,30282.07608695652,826.25,-823.445652173913,5242.326086956522,55.04049288719691
2017-09-01,52.05,5301713,52.53,52.77,51.925,2858.5434782608695,827.8478260869565,1.7,61672.47826086957,30372.847826086956,827.5,-824.1086956521739,5324.347826086956,55.1628571428571
2017-09-05,50.03,17923420,51.86,51.9,49.83,2861.804347826087,832.9347826086956,1.7133333333333334,62033.34782608696,30735.934782608696,832.5,-826.7608695652174,5652.434782608696,55.49017316017313
2017-09-06,50.45,16196880,50.19,50.77,49.83,2862.6195652173915,834.2065217391305,1.7166666666666666,62123.565217391304,30826.70652173913,833.75,-827.4239130434783,5734.45652173913,55.57200216450213
2017-09-07,50.38,10034910,50.56,50.69,50.25,2863.4347826086955,835.4782608695652,1.72,62213.78260869565,30917.478260869564,835.0,-828.0869565217391,5816.478260869565,55.65383116883114
2017-09-08,49.64,12502270,50.35,50.45,48.92,2864.25,836.75,1.7233333333333334,62304.0,31008.25,836.25,-828.75,5898.5,55.73566017316015
2017-09-11,50.57,7471396,49.94,50.67,49.91,2866.695652173913,840.5652173913044,1.7333333333333334,62574.65217391304,31280.565217391304,840.0,-830.7391304347826,6144.565217391304,55.98114718614717
2017-09-12,50.9,4517672,50.6,51.07,50.52,2867.5108695652175,841.8369565217391,1.7366666666666666,62664.86956521739,31371.33695652174,841.25,-831.4021739130435,6226.586956521739,56.06297619047617
2017-09-13,51.01,6183107,50.8,51.1054,50.72,2868.3260869565215,843.1086956521739,1.74,62755.086956521736,31462.108695652176,842.5,-832.0652173913044,6308.608695652174,56.14480519480518
2017-09-14,51.48,7740281,50.97,51.59,50.67,2869.141304347826,844.3804347826087,1.7433333333333334,62845.30434782609,31552.880434782608,843.75,-832.7282608695652,6390.630434782609,56.22663419913419
